title,views,descr
What the Social Progress Index can reveal about your country,"
1,072,074
","
The term Gross Domestic Product is often talked about as if it were “handed down from god on tablets of stone.” But this concept was invented by an economist in the 1930s. We need a more effective measurement tool to match 21st century needs, says Michael Green: the Social Progress Index. With charm and wit, he shows how this tool measures societies across the three dimensions that actually matter. And reveals the dramatic reordering of nations that occurs when you use it.
"
How to save the world (or at least yourself) from bad meetings,"
1,863,379
","
An epidemic of bad, inefficient, overcrowded meetings is plaguing the world’s businesses — and making workers miserable. David Grady has some ideas on how to stop it.
"
How autism freed me to be myself,"
1,866,539
","
“People are so afraid of variety that they try to fit everything into a tiny little box with a specific label,” says 16-year-old Rosie King, who is bold, brash and autistic. She wants to know: Why is everyone so worried about being normal? She sounds a clarion call for every kid, parent, teacher and person to celebrate uniqueness. It’s a soaring testament to the potential of human diversity.
"
Meet the mom who started the Ice Bucket Challenge,"
932,638
","
Remember the Ice Bucket Challenge craze this summer? Meet the mom who started it all. When Nancy Frates's son Pete hurt his wrist in a baseball game, he got an unexpected diagnosis: it wasn’t a broken bone, it was ALS, and there is no cure. In this inspiring talk, Nancy tells the story of what happened next.
"
This gel can make you stop bleeding instantly,"
1,516,667
","
Forget stitches — there's a better way to close wounds. In this talk, TED Fellow Joe Landolina talks about his invention — a medical gel that can instantly stop traumatic bleeding without the need to apply pressure. (Contains medical images.)
"
How to protect fast-growing cities from failing,"
871,998
","
Worldwide, violence is on the decline, but in the crowded cities of the global south — cities like Aleppo, Bamako and Caracas — violence is actually accelerating, fueled by the drug trade, mass unemployment and civil unrest. Security researcher Robert Muggah turns our attention toward these ""fragile cities,"" super-fast-growing places where infrastructure is weak and government often ineffective. He shows us the four big risks we face, and offers a way to change course.
"
A plant's-eye view,"
1,183,735
","
What if human consciousness isn't the end-all and be-all of Darwinism? What if we are all just pawns in corn's clever strategy game to rule the Earth? Author Michael Pollan asks us to see the world from a plant's-eye view.
"
Why some people find exercise harder than others,"
2,757,677
","
Why do some people struggle more than others to keep off the pounds? Social psychologist Emily Balcetis shows research that addresses one of the many factors: Vision. In an informative talk, she shows how when it comes to fitness, some people quite literally see the world differently from others — and offers a surprisingly simple solution to overcome these differences.
"
What the people of the Amazon know that you don’t,"
1,372,236
","
""The greatest and most endangered species in the Amazon rainforest is not the jaguar or the harpy eagle,"" says Mark Plotkin, ""It's the isolated and uncontacted tribes."" In an energetic and sobering talk, the ethnobotanist brings us into the world of the forest's indigenous tribes and the incredible medicinal plants that their shamans use to heal. He outlines the challenges and perils that are endangering them — and their wisdom — and urges us to protect this irreplaceable repository of knowledge.
"
Hidden cameras that film injustice in the world’s most dangerous places,"
1,052,669
","
To see is to believe, says Oren Yakobovich — which is why he helps everyday people use hidden cameras to film dangerous situations of violence, political fraud and abuse. His organization, Videre, uncovers, verifies and publicizes human-rights abuses that the world needs to witness. 
"
To the South Pole and back — the hardest 105 days of my life,"
959,974
","
This year, explorer Ben Saunders attempted his most ambitious trek yet. He set out to complete Captain Robert Falcon Scott’s failed 1912 polar expedition — a four-month, 1,800-mile round trip journey from the edge of Antarctica to the South Pole and back. In the first talk given after his adventure, just five weeks after his return, Saunders offers a raw, honest look at this “hubris”-tinged mission that brought him to the most difficult decision of his life.
"
The workforce crisis of 2030 — and how to start solving it now,"
1,416,653
","
It sounds counterintuitive, but by 2030, many of the world's largest economies will have more jobs than adult citizens to do those jobs. In this data-filled — and quite charming — talk, human resources expert Rainer Strack suggests that countries ought to look across borders for mobile and willing job seekers. But to do that, they need to start by changing the culture in their businesses.
"
What veterinarians know that physicians don't,"
1,377,546
","
What do you call a veterinarian who can only take care of one species? A physician. In a fascinating talk, Barbara Natterson-Horowitz shares how a species-spanning approach to health can improve medical care of the human animal — particularly when it comes to mental health.
"
Fighters and mourners of the Ukrainian revolution,"
668,374
","
“Men fight wars, and women mourn them,” says documentary photographer Anastasia Taylor-Lind. With stark, arresting images from the Maidan protests in Ukraine, the TED Fellow shows us intimate faces from the revolution. A grim and beautiful talk.
"
"A dance in a hurricane of paper, wind and light","
759,379
","
Choreographer Aakash Odedra is dyslexic and has always felt that his best expression comes through movement. “Murmur” is his ode to that experience, teaming up with co-creators Lewis Major and Ars Electronica Futurelab. Watch him spin his way through the center of a storm, as pages of books take flight all around him.
"
The world's most boring television ... and why it's hilariously addictive,"
1,866,889
","
You've heard about slow food. Now here's slow ... TV? In this very funny talk, Norwegian television producer Thomas Hellum shares how he and his team began to broadcast long, boring events, often live — and found a rapt audience. Shows include a 7-hour train journey, an 18-hour fishing expedition and a 5.5-day ferry voyage along the coast of Norway. The results are both beautiful and fascinating. Really.
"
The small and surprisingly dangerous detail the police track about you,"
1,698,893
","
A very unsexy-sounding piece of technology could mean that the police know where you go, with whom, and when: the automatic license plate reader. These cameras are innocuously placed all across small-town America to catch known criminals, but as lawyer and TED Fellow Catherine Crump shows, the data they collect in aggregate could have disastrous consequences for everyone the world over.
"
An illustrated journey through Rome,"
627,551
","
David Macaulay relives the winding and sometimes surreal journey toward the completion of Rome Antics, his illustrated homage to the historic city.
"
Social maps that reveal a city's intersections — and separations,"
1,234,537
","
Every city has its neighborhoods, cliques and clubs, the hidden lines that join and divide people in the same town. What can we learn about cities by looking at what people share online? Starting with his own home town of Baltimore, Dave Troy has been visualizing what the tweets of city dwellers reveal about who lives there, who they talk to — and who they don’t.
"
How to overcome our biases? Walk boldly toward them,"
1,203,186
","
Our biases can be dangerous, even deadly — as we've seen in the cases of Michael Brown in Ferguson, Missouri, and Eric Garner, in Staten Island, New York. Diversity advocate Vernā Myers looks closely at some of the subconscious attitudes we hold toward out-groups. She makes a plea to all people: Acknowledge your biases. Then move toward, not away from, the groups that make you uncomfortable. In a funny, impassioned, important talk, she shows us how.
"
How I work to protect women from honor killings,"
1,101,412
","
Nearly 1000 ""honor"" killings are reported in Pakistan each year, murders by a family member for behavior deemed ""shameful,"" such as a relationship outside of marriage. When Khalida Brohi lost a close friend to the practice, she resolved to campaign against it. Yet she met resistance from an unlikely source: the very community she hoped to protect. In this powerful, honest talk, Brohi shares how she took a hard look at her own process, and offers sharp insights for other passionate activists.
"
The mathematics of love,"
3,620,552
","
Finding the right mate is no cakewalk — but is it even mathematically likely? In a charming talk, mathematician Hannah Fry shows patterns in how we look for love, and gives her top three tips (verified by math!) for finding that special someone.
"
Got a smartphone? Start broadcasting,"
1,219,860
","
In 2011, journalist Bruno Torturra covered a protest in São Paulo which turned ugly. His experience of being teargassed had a profound effect on the way he thought about his work, and he quit his job to focus on broadcasting raw, unedited experiences online. In this fascinating talk, he shares some of the ways in which he's experimented with livestreaming on the web, and how in the process he has helped to create a very modern media network.
"
The wonderful and terrifying implications of computers that can learn,"
1,750,244
","
What happens when we teach a computer how to learn? Technologist Jeremy Howard shares some surprising new developments in the fast-moving field of deep learning, a technique that can give computers the ability to learn Chinese, or to recognize objects in photos, or to help think through a medical diagnosis. (One deep learning tool, after watching hours of YouTube, taught itself the concept of “cats.”) Get caught up on a field that will change the way the computers around you behave … sooner than you probably think.  
"
The power of believing that you can improve,"
4,332,871
","
Carol Dweck researches “growth mindset” — the idea that we can grow our brain's capacity to learn and to solve problems. In this talk, she describes two ways to think about a problem that’s slightly too hard for you to solve. Are you not smart enough to solve it … or have you just not solved it yet? A great introduction to this influential field.

"
Pimp my ... trash cart?,"
923,187
","
In Brazil, ""catadores"" collect junk and recyclables. But while they provide a vital service that benefits all, they are nearly invisible as they roam the streets. Enter graffiti artist Mundano, a TED Fellow. In a spirited talk, he describes his project ""Pimp My Carroça,"" which has transformed these heroic workers' carts into things of beauty and infused them with a sense of humor. It's a movement that is going global.
"
"Go ahead, make up new words!","
1,373,463
","
In this fun, short talk from TEDYouth, lexicographer Erin McKean encourages — nay, cheerleads — her audience to create new words when the existing ones won’t quite do. She lists out 6 ways to make new words in English, from compounding to “verbing,” in order to make language better at expressing what we mean, and to create more ways for us to understand one another.
"
"See invisible motion, hear silent sounds","
1,832,931
","
Meet the “motion microscope,” a video-processing tool that plays up tiny changes in motion and color impossible to see with the naked eye. Video researcher Michael Rubinstein plays us clip after jaw-dropping clip showing how this tech can track an individual’s pulse and heartbeat simply from a piece of footage. Watch him re-create a conversation by amplifying the movements from sound waves bouncing off a bag of chips. The wow-inspiring and sinister applications of this tech you have to see to believe.
"
The new power of collaboration,"
817,444
","
Howard Rheingold talks about the coming world of collaboration, participatory media and collective action — and how Wikipedia is really an outgrowth of our natural human instinct to work as a group.
"
Why you should care about whale poo,"
1,152,197
","
Whales have a surprising and important job, says marine biologist Asha de Vos: these massive creatures are ecosystem engineers, keeping the oceans healthy and stable by ... well, by pooping, for a start. Learn from de Vos, a TED Fellow, about the undervalued work that whales do to help maintain the stability and health of our seas — and our planet.
"
"For more tolerance, we need more ... tourism?","
1,148,522
","
Aziz Abu Sarah is a Palestinian activist with an unusual approach to peace-keeping: Be a tourist. The TED Fellow shows how simple interactions with people in different cultures can erode decades of hate. He starts with Palestinians visiting Israelis and moves beyond ...
"
Happy maps,"
1,876,552
","
Mapping apps help us find the fastest route to where we’re going. But what if we’d rather wander? Researcher Daniele Quercia demos “happy maps” that take into account not only the route you want to take, but how you want to feel along the way.
"
Poetry that frees the soul,"
646,662
","
“It’s said that to be a poet, you have to go to hell and back.” Cristina Domenech teaches writing at an Argentinian prison, and she tells the moving story of helping incarcerated people express themselves, understand themselves — and glory in the freedom of language. Watch for a powerful reading from one of her students, an inmate, in front of an audience of 10,000. In Spanish with subtitles.
"
"A forensic anthropologist who brings closure for the ""disappeared""","
670,708
","
In Guatemala’s 36-year conflict, 200,000 civilians were killed — and more than 40,000 were never identified. At the Forensic Anthropology Foundation of Guatemala, Fredy Peccerelli and his team use DNA, archeology and storytelling to help families find the bodies of their loved ones. It’s a sobering task, but it can bring peace of mind — and sometimes, justice. (Contains medical imagery.)
"
Let's save the last pristine continent,"
927,932
","
2041 will be a pivotal year for our planet. That year will mark the end of a 50-year agreement to keep Antarctica, the Earth’s last pristine continent, free of exploitation. Explorer Robert Swan — the first person to walk both the North and South Poles — is on a mission to ensure that we extend that treaty. With passion and vigor, he pleads with us to choose the preservation of the Antarctic for our own survival.
"
Hopeful lessons from the battle to save rainforests,"
837,533
","
""Save the rainforest” is an environmental slogan as old as time — but Tasso Azevedo catches us up on how the fight is actually going these days. Spurred by the jaw-dropping losses of the 1990s, new laws (and transparent data) are helping slow the rate of deforestation in Brazil. Is it enough? Not yet. He has five ideas about what we should do next. And he asks if the lessons learned in Brazil could be applied to an even bigger problem: global climate change.
"
Creative problem-solving in the face of extreme limits,"
1,456,892
","
Navi Radjou has spent years studying ""jugaad,"" also known as frugal innovation. Pioneered by entrepreneurs in emerging markets who figured out how to get spectacular value from limited resources, the practice has now caught on globally. Peppering his talk with a wealth of examples of human ingenuity at work, Radjou also shares three principles for how we can all do more with less.
"
How to let altruism be your guide,"
1,615,449
","
What is altruism? Put simply, it's the wish that other people may be happy. And, says Matthieu Ricard, a happiness researcher and a Buddhist monk, altruism is also a great lens for making decisions, both for the short and long term, in work and in life.
"
The beauty and diversity of Muslim life,"
1,269,093
","
Bassam Tariq is a blogger, a filmmaker, and a halal butcher — but one thread unites his work: His joy in the diversity, the humanness of our individual experiences. In this charming talk, he shares clips from his film ""These Birds Walk"" and images from his tour of 30 mosques in 30 days — and reminds us to consider the beautiful complexity within us all.
"
What security means to me,"
982,895
","
Playwright Eve Ensler explores our modern craving for security — and why it makes us less secure. Listen for inspiring, heartbreaking stories of women making change.
"
Why I make robots the size of a grain of rice,"
1,394,362
","
By studying the movement and bodies of insects such as ants, Sarah Bergbreiter and her team build incredibly robust, super teeny, mechanical versions of creepy crawlies … and then they add rockets. See their jaw-dropping developments in micro-robotics, and hear about three ways we might use these little helpers in the future.
"
The danger of hiding who you are,"
2,423,653
","
Morgana Bailey has been hiding her true self for 16 years. In a brave talk, she utters four words that might not seem like a big deal to some, but to her have been paralyzing. Why speak up? Because she’s realized that her silence has personal, professional and societal consequences. In front of an audience of her co-workers, she reflects on what it means to fear the judgment of others, and how it makes us judge ourselves.
"
Brain-to-brain communication has arrived. How we did it,"
1,176,533
","
You may remember neuroscientist Miguel Nicolelis — he built the brain-controlled exoskeleton that allowed a paralyzed man to kick the first ball of the 2014 World Cup. What’s he working on now? Building ways for two minds (rats and monkeys, for now) to send messages brain to brain. Watch to the end for an experiment that, as he says, will go to ""the limit of your imagination.""
"
"Better toilets, better life","
949,507
","
In rural India, the lack of toilets creates a big, stinking problem. It leads to poor quality water, one of the leading causes of disease in India, and has a disproportionately negative effect on women. Joe Madiath introduces a program to help villagers help themselves, by building clean, protected water and sanitation systems and requiring everyone in the village to collaborate — with significant benefits that ripple across health, education and even government.
"
"To solve mass violence, look to locals","
729,182
","
Severine Autesserre studies the Democratic Republic of Congo, which is in the middle of the deadliest conflict since World War II; it's been called ""the largest ongoing humanitarian crisis in the world.” The conflict seems hopelessly, unsolvably large. But her insight from decades of listening and engaging: The conflicts are often locally based. And instead of focusing on solutions that scale to a national level, leaders and aid groups might be better served solving local crises before they ignite.
"
My mother’s strange definition of empowerment,"
1,000,231
","
Khadija Gbla grew up caught between two definitions of what it means to be an “empowered woman.” While her Sierra Leonean mother thought that circumsizing her — and thus stifling her sexual urges — was the ultimate form of empowerment, her culture as a teenager in Australia told her that she deserved pleasure and that what happened to her was called “female genital mutilation.” In a candid and funny talk, she shares what it was like to make her way in a “clitoris-centric society,” and how she works to make sure other women don’t have to figure this out. (Warning: This talk contains hard-to-hear details.)
"
"Online social change: easy to organize, hard to win","
1,012,197
","
Today, a single email can launch a worldwide movement. But as sociologist Zeynep Tufekci suggests, even though online activism is easy to grow, it often doesn't last. Why? She compares modern movements — Gezi, Ukraine, Hong Kong — to the civil rights movement of the 1960s, and uncovers a surprising benefit of organizing protest movements the way it happened before Twitter.
"
Humanity vs. Ebola. How we could win a terrifying war,"
808,802
","
“Ebola threatens everything that makes us human,” says Bruce Aylward of the World Health Organization. And when the Ebola epidemic exploded in 2014, it caused a worldwide panic. But humanity can beat Ebola — and Aylward shows four strategies that show how we are succeeding. The fight against Ebola is not yet won, he says, but it can be.
"
"10 myths about psychology, debunked","
2,136,156
","
How much of what you think about your brain is actually wrong? In this whistlestop tour of dis-proved science, Ben Ambridge walks through 10 popular ideas about psychology that have been proven wrong — and uncovers a few surprising truths about how our brains really work.
"
"Got a wicked problem? First, tell me how you make toast","
2,152,962
","
Making toast doesn’t sound very complicated — until someone asks you to draw the process, step by step. Tom Wujec loves asking people and teams to draw how they make toast, because the process reveals unexpected truths about how we can solve our biggest, most complicated problems at work. Learn how to run this exercise yourself, and hear Wujec’s surprising insights from watching thousands of people draw toast.
"
The untouchable music of the theremin,"
1,514,730
","
Virtuoso Pamelia Kurstin performs and discusses her theremin, the not-just-for-sci-fi electronic instrument that is played without being touched. Songs include ""Autumn Leaves,"" ""Lush Life"" and David Mash’s ""Listen, Words Are Gone.""
"
Old books reborn as art,"
1,072,735
","
What do you do with an outdated encyclopedia in the information age? With X-Acto knives and an eye for a good remix, artist Brian Dettmer makes beautiful, unexpected sculptures that breathe new life into old books.
"
How butterflies self-medicate,"
995,224
","
Just like us, the monarch butterfly sometimes gets sick thanks to a nasty parasite. But biologist Jaap de Roode noticed something interesting about the butterflies he was studying — infected female butterflies would choose to lay their eggs on a specific kind of plant that helped their offspring avoid getting sick. How do they know to choose this plant? Think of it as “the other butterfly effect” — which could teach us to find new medicines for the treatment of human disease.
"
How to run a company with (almost) no rules,"
2,171,079
","
What if your job didn’t control your life? Brazilian CEO Ricardo Semler practices a radical form of corporate democracy, rethinking everything from board meetings to how workers report their vacation days (they don’t have to). It’s a vision that rewards the wisdom of workers, promotes work-life balance — and leads to some deep insight on what work, and life, is really all about. Bonus question: What if schools were like this too?
"
Why the buildings of the future will be shaped by ... you,"
1,859,526
","
""Architecture is not about math or zoning — it's about visceral emotions,"" says Marc Kushner. In a sweeping — often funny — talk, he zooms through the past thirty years of architecture to show how the public, once disconnected, have become an essential part of the design process. With the help of social media, feedback reaches architects years before a building is even created. The result? Architecture that will do more for us than ever before.
"
"My simple invention, designed to keep my grandfather safe","
1,429,414
","
60% of people with dementia wander off, an issue that can prove hugely stressful for both patients and caregivers. In this charming talk, hear how teen inventor Kenneth Shinozuka came up with a novel solution to help his night-wandering grandfather and the aunt who looks after him ... and how he hopes to help others with Alzheimer's.
"
The power of herd immunity,"
597,046
","
How do vaccines prevent disease — even among people too young to get vaccinated? It's a concept called ""herd immunity,"" and it relies on a critical mass of people getting their shots to break the chain of infection. Health researcher Romina Libster shows how herd immunity contained a deadly outbreak of H1N1 in her hometown. (In Spanish with subtitles.)
"
Math is forever,"
1,332,857
","
With humor and charm, mathematician Eduardo Sáenz de Cabezón answers a question that’s wracked the brains of bored students the world over: What is math for? He shows the beauty of math as the backbone of science — and shows that theorems, not diamonds, are forever. In Spanish, with English subtitles.
"
Building uniqueness,"
502,095
","
Looking back over his long career, architect Moshe Safdie delves into four of his design projects and explains how he labored to make each one truly unique for its site and its users.
"
Why we all need to practice emotional first aid,"
3,593,943
","
We'll go to the doctor when we feel flu-ish or a nagging pain. So why don’t we see a health professional when we feel emotional pain: guilt, loss, loneliness? Too many of us deal with common psychological-health issues on our own, says Guy Winch. But we don’t have to. He makes a compelling case to practice emotional hygiene — taking care of our emotions, our minds, with the same diligence we take care of our bodies.
"
How childhood trauma affects health across a lifetime,"
2,070,794
","
Childhood trauma isn’t something you just get over as you grow up. Pediatrician Nadine Burke Harris explains that the repeated stress of abuse, neglect and parents struggling with mental health or substance abuse issues has real, tangible effects on the development of the brain. This unfolds across a lifetime, to the point where those who’ve experienced high levels of trauma are at triple the risk for heart disease and lung cancer. An impassioned plea for pediatric medicine to confront the prevention and treatment of trauma, head-on.
"
"For these women, reading is a daring act","
734,023
","
In some parts of the world, half of the women lack basic reading and writing skills. The reasons vary, but in many cases, literacy isn't valued by fathers, husbands, even mothers. Photographer and TED Fellow Laura Boushnak traveled to countries including Yemen, Egypt and Tunisia to highlight brave women — schoolgirls, political activists, 60-year-old moms — who are fighting the statistics.
"
"How to go to space, without having to go to space","
1,046,478
","
""We will start inhabiting outer space,"" says Angelo Vermeulen, crew commander of a NASA-funded Mars simulation. ""It might take 50 years or it might take 500 years, but it’s going to happen."" In this charming talk, the TED Senior Fellow describes some of his official work to make sure humans are prepared for life in deep space ... and shares a fascinating art project in which he challenged people worldwide to design homes we might live in there.
"
The little problem I had renting a house,"
1,176,635
","
Fifty-three years ago, James A. White Sr. joined the US Air Force. But as an African American man, he had to go to shocking lengths to find a place for his young family to live nearby. He tells this powerful story about the lived experience of ""everyday racism"" — and how it echoes today in the way he's had to teach his grandchildren to interact with police. 
"
How we found the worst place to park in New York City — using big data,"
947,685
","
City agencies have access to a wealth of data and statistics reflecting every part of urban life. But as data analyst Ben Wellington suggests in this entertaining talk, sometimes they just don't know what to do with it. He shows how a combination of unexpected questions and smart data crunching can produce strangely useful insights, and shares tips on how to release large sets of data so that anyone can use them.
"
Why people believe weird things,"
4,643,301
","
Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe — and overlook the facts.
"
A parable for Kenya,"
182,455
","
Joseph Lekuton, a member of parliament in Kenya, starts with the story of his remarkable education, then offers a parable of how Africa can grow. His message of hope has never been more relevant.
"
5 ways to kill your dreams,"
4,124,855
","
All of us want to invent that game-changing product, launch that successful company, write that best-selling book. And yet so few of us actually do it. TED Fellow and Brazilian entrepreneur Bel Pesce breaks down five easy-to-believe myths that ensure your dream projects will never come to fruition.
"
How our microbes make us who we are,"
1,316,602
","
Rob Knight is a pioneer in studying human microbes, the community of tiny single-cell organisms living inside our bodies that have a huge — and largely unexplored — role in our health. “The three pounds of microbes that you carry around with you might be more important than every single gene you carry around in your genome,” he says. Find out why.
"
"The problem with ""trickle-down techonomics""","
666,858
","
Hooray for technology! It makes everything better for everyone!! Right? Well, no. When a new technology, like ebooks or health trackers, is only available to some people, it has unintended consequences for all of us. Jon Gosier, a TED Fellow and tech investor, calls out the idea of ""trickle-down techonomics,"" and shares powerful examples of how new tech can make things actually worse if it's not equally distributed. As he says, ""the real innovation is in finding ways to include everyone.""
"
What can save the rainforest? Your used cell phone,"
1,137,111
","
The sounds of the rainforest include: the chirps of birds, the buzz of cicadas, the banter of gibbons. But in the background is the almost-always present sound of a chainsaw, from illegal loggers. Engineer Topher White shares a simple, scalable way to stop this brutal deforestation — that starts with your old cell phone.
"
Think your email's private? Think again,"
1,466,367
","
Sending an email message is like sending a postcard, says scientist Andy Yen in this thought-provoking talk: Anyone can read it. Yet encryption, the technology that protects the privacy of email communication, does exist. It's just that until now it has been difficult to install and a hassle to use. Showing a demo of an email program he designed with colleagues at CERN, Yen argues that encryption can be made simple to the point of becoming the default option, providing true email privacy to all.
"
A magical search for a coincidence,"
1,630,444
","
Small coincidences. They happen all the time and yet, they pass us by because we are not looking for them. In a delightfully subtle trick, magician Helder Guimarães demonstrates with a deck of cards, a dollar bill and a stuffed giraffe. 
"
What I learned as a kid in jail,"
1,285,857
","
As a teenager, Ismael Nazario was sent to New York’s Rikers Island jail, where he spent 300 days in solitary confinement — all before he was ever convicted of a crime. Now as a prison reform advocate he works to change the culture of American jails and prisons, where young people are frequently subjected to violence beyond imagination. Nazario tells his chilling story and suggests ways to help, rather than harm, teens in jail.
"
Play this game to come up with original ideas,"
1,372,128
","
Shimpei Takahashi always dreamed of designing toys. But when he started work as a toy developer, he found that the pressure to use data as a starting point for design quashed his creativity. In this short, funny talk, Takahashi describes how he got his ideas flowing again, and shares a simple game anyone can play to generate new ideas. (In Japanese with English subtitles.)
"
A love poem for lonely prime numbers,"
1,181,244
","
Performance poet (and math student) Harry Baker spins a love poem about his favorite kind of numbers — the lonely, love-lorn prime. Stay on for two more lively, inspiring poems from this charming performer.
"
The story of Project Orion,"
747,302
","
Author George Dyson spins the story of Project Orion, a massive, nuclear-powered spacecraft that could have taken us to Saturn in five years. His insider’s perspective and a secret cache of documents bring an Atomic Age dream to life. 
"
How to manage for collective creativity,"
1,738,723
","
What's the secret to unlocking the creativity hidden inside your daily work, and giving every great idea a chance? Harvard professor Linda Hill, co-author of ""Collective Genius,"" has studied some of the world's most creative companies to come up with a set of tools and tactics to keep great ideas flowing — from everyone in the company, not just the designated ""creatives."" 
"
I was held hostage for 317 days. Here's what I thought about…,"
1,112,884
","
Vincent Cochetel was held hostage for 317 days in 1998, while working for the UN High Commissioner on Refugees in Chechnya. For the first time, he recounts the experience — from what it was like to live in a dark, underground chamber, chained to his bed, to the unexpected conversations he had with his captors. With lyricism and power, he explains why he continues his work today. Since 2000, attacks on humanitarian aid workers have tripled — and he wonders what that rise may signal to the world.
"
"There’s a better way to die, and architecture can help","
1,136,946
","
In this short, provocative talk, architect Alison Killing looks at buildings where death and dying happen — cemeteries, hospitals, homes. The way we die is changing, and the way we build for dying ... well, maybe that should too. It's a surprisingly fascinating look at a hidden aspect of our cities, and our lives.
"
"In praise of macro — yes, macro — finance in Africa","
842,955
","
In this short, provocative talk, financier Sangu Delle questions whether microfinance — small loans to small entrepreneurs — is the best way to drive growth in developing countries. ""We seem to be fixated on this romanticized idea that every poor person in Africa is an entrepreneur,” he says. ""Yet, my work has taught me that most people want jobs.” Delle, a TED Fellow, makes the case for supporting large companies and factories — and clearing away the obstacles to pan-African trade. 
"
The good news about PMS,"
1,154,912
","
Everybody knows that most women go a little crazy right before they get their period, that their reproductive hormones cause their emotions to fluctuate wildly. Except: There's very little scientific consensus about premenstrual syndrome. Says psychologist Robyn Stein DeLuca, science doesn't agree on the definition, cause, treatment or even existence of PMS. She explores what we know and don't know about it — and why the popular myth has persisted.
"
Can we create new senses for humans?,"
1,444,872
","
As humans, we can perceive less than a ten-trillionth of all light waves. “Our experience of reality,” says neuroscientist David Eagleman, “is constrained by our biology.” He wants to change that. His research into our brain processes has led him to create new interfaces — such as a sensory vest — to take in previously unseen information about the world around us. 
"
What if 3D printing was 100x faster?,"
2,183,367
","
What we think of as 3D printing, says Joseph DeSimone, is really just 2D printing over and over ... slowly. Onstage at TED2015, he unveils a bold new technique — inspired, yes, by Terminator 2 — that's 25 to 100 times faster, and creates smooth, strong parts. Could it finally help to fulfill the tremendous promise of 3D printing?
"
The price of shame,"
8,256,631
","
""Public shaming as a blood sport has to stop,"" says Monica Lewinsky. In 1998, she says, “I was Patient Zero of losing a personal reputation on a global scale almost instantaneously.” Today, the kind of online public shaming she went through has become constant — and can turn deadly. In a brave talk, she takes a hard look at our online culture of humiliation, and asks for a different way.
"
How we're teaching computers to understand pictures,"
1,500,273
","
When a very young child looks at a picture, she can identify simple elements: ""cat,"" ""book,"" ""chair."" Now, computers are getting smart enough to do that too. What's next? In a thrilling talk, computer vision expert Fei-Fei Li describes the state of the art  — including the database of 15 million photos her team built to ""teach"" a computer to understand pictures — and the key insights yet to come.
"
A tale of two Americas. And the mini-mart where they collided,"
1,130,241
","
Ten days after 9/11, a shocking attack at a Texas mini-mart shattered the lives of two men: the victim and the attacker. In this stunning talk, Anand Giridharadas, author of ""The True American,"" tells the story of what happened next. It's a parable about the two paths an American life can take, and a powerful call for reconciliation.
"
The Jill and Julia Show,"
453,471
","
Two TED favorites, Jill Sobule and Julia Sweeney, team up for a delightful set that mixes witty songwriting with a little bit of social commentary.
"
"How to revive a neighborhood: with imagination, beauty and art","
893,976
","
Theaster Gates, a potter by training and a social activist by calling, wanted to do something about the sorry state of his neighborhood on the south side of Chicago. So he did, transforming abandoned buildings to create community hubs that connect and inspire those who still live there (and draw in those who don't). In this passionate talk, Gates describes his efforts to build a ""miniature Versailles"" in Chicago, and he shares his fervent belief that culture can be a catalyst for social transformation in any city, anywhere.
"
The day I stood up alone,"
1,197,314
","
Photographer Boniface Mwangi wanted to protest against corruption in his home country of Kenya. So he made a plan: He and some friends would stand up and heckle during a public mass meeting. But when the moment came ... he stood alone. What happened next, he says, showed him who he truly was. As he says, ""There are two most powerful days in your life. The day you are born, and the day you discover why."" Graphic images.
"
Everyone around you has a story the world needs to hear,"
1,259,327
","
Dave Isay opened the first StoryCorps booth in New York’s Grand Central Terminal in 2003 with the intention of creating a quiet place where a person could honor someone who mattered to them by listening to their story. Since then, StoryCorps has evolved into the single largest collection of human voices ever recorded. His TED Prize wish: to grow this digital archive of the collective wisdom of humanity. Hear his vision to take StoryCorps global — and how you can be a part of it by interviewing someone with the StoryCorps app.
"
Why do ambitious women have flat heads?,"
1,668,895
","
Dame Stephanie Shirley is the most successful tech entrepreneur you never heard of. In the 1960s, she founded a pioneering all-woman software company in the UK, which was ultimately valued at $3 billion, making millionaires of 70 of her team members. In this frank and often hilarious talk, she explains why she went by “Steve,” how she upended the expectations of the time, and shares some sure-fire ways to identify ambitious women …
"
How I use sonar to navigate the world,"
1,015,174
","
Daniel Kish has been blind since he was 13 months old, but has learned to “see” using a form of echolocation. He clicks his tongue and sends out flashes of sound that bounce off surfaces in the environment and return to him, helping him to construct an understanding of the space around him. In a rousing talk, Kish demonstrates how this works and asks us to let go of our fear of the “dark unknown.” 
"
The next outbreak? We’re not ready,"
2,021,955
","
In 2014, the world avoided a global outbreak of Ebola, thanks to thousands of selfless health workers — plus, frankly, some very good luck. In hindsight, we know what we should have done better. So, now's the time, Bill Gates suggests, to put all our good ideas into practice, from scenario planning to vaccine research to health worker training. As he says, ""There's no need to panic ... but we need to get going.""
"
Are China and the US doomed to conflict?,"
1,347,839
","
The former prime minister of Australia, Kevin Rudd is also a longtime student of China, with a unique vantage point to watch its power rise in the past few decades. He asks whether the growing ambition of China will inevitably lead to conflict with other major powers — and suggests another narrative.
"
